seats,mm,pg,vs
7,0.011990105,0.022483837,"(0.46889798539208605, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.5311007595028215, 0.448674197181176, 0.5252562027384051, 0.48511139864230135, 0.6637707169856724, 0.31513751918020527, 0.579773851590106, 0.4790133924094485)"
7,0.012118556,0.029673346,"(0.46889798539208605, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.5311007595028215, 0.448674197181176, 0.5252562027384051, 0.48511139864230135, 0.6023048200307056, 0.31513751918020527, 0.6395698796141274, 0.4790133924094485)"
7,0.012386966,0.03016354,"(0.46889798539208605, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.5311007595028215, 0.448674197181176, 0.5252562027384051, 0.3229008319688627, 0.6023048200307056, 0.47385876182039544, 0.6395698796141274, 0.4790133924094485)"
7,0.012729258,0.03612834,"(0.46889798539208605, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.5311007595028215, 0.6046499977456378, 0.5252562027384051, 0.3229008319688627, 0.6023048200307056, 0.47385876182039544, 0.4791442851137372, 0.4790133924094485)"
7,0.012635489,0.033231242,"(0.46889798539208605, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.5311007595028215, 0.6228504573924094, 0.5252562027384051, 0.3229008319688627, 0.5853233561414828, 0.47385876182039544, 0.4791442851137372, 0.4790133924094485)"
7,0.012631615,0.033223494,"(0.46889798539208605, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.5311007595028215, 0.6228504573924094, 0.5252562027384051, 0.3229008319688627, 0.5853233561414828, 0.47385876182039544, 0.47976259884123457, 0.47844543689155367)"
7,0.013355446,0.024025051,"(0.43429814341752265, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.5311007595028215, 0.6228504573924094, 0.5252562027384051, 0.34809086855506793, 0.5853233561414828, 0.47385876182039544, 0.47976259884123457, 0.47844543689155367)"
7,0.014171366,0.023278244,"(0.43429814341752265, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.5311007595028215, 0.5972036565403575, 0.5252562027384051, 0.34809086855506793, 0.5853233561414828, 0.47385876182039544, 0.47976259884123457, 0.49348528290930205)"
7,0.014225951,0.023142147,"(0.43429814341752265, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.5303036378622825, 0.5972036565403575, 0.5252562027384051, 0.34809086855506793, 0.5853233561414828, 0.47385876182039544, 0.47985011181547677, 0.49348528290930205)"
7,0.014184382,0.022611393,"(0.43429814341752265, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.44660468122095853, 0.5972036565403575, 0.5252562027384051, 0.34809086855506793, 0.5853233561414828, 0.47385876182039544, 0.5640894620699635, 0.49348528290930205)"
7,0.014024778,0.015752702,"(0.43429814341752265, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.44660468122095853, 0.5972036565403575, 0.5252562027384051, 0.37281508824803494, 0.5853233561414828, 0.45120940326170983, 0.5640894620699635, 0.49348528290930205)"
7,0.013913471,0.015975316,"(0.43429814341752265, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.44660468122095853, 0.5972036565403575, 0.5252562027384051, 0.37281508824803494, 0.5980340455048626, 0.45120940326170983, 0.5640894620699635, 0.48222158242311913)"
7,0.012828423,0.015632055,"(0.43429814341752265, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.44660468122095853, 0.6288287644304658, 0.5252562027384051, 0.37281508824803494, 0.5980340455048626, 0.45120940326170983, 0.5640894620699635, 0.46470210226751124)"
7,0.012618766,0.01662958,"(0.43429814341752265, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.46772446229456216, 0.6288287644304658, 0.5252562027384051, 0.37281508824803494, 0.5980340455048626, 0.45120940326170983, 0.5456952155549423, 0.46470210226751124)"
7,0.012804414,0.018494753,"(0.43429814341752265, 0.534849651754621, 0.6423160256311754, 0.4421062347131847, 0.5540379138210885, 0.46772446229456216, 0.6288287644304658, 0.5252562027384051, 0.37281508824803494, 0.5980340455048626, 0.45120940326170983, 0.5456952155549423, 0.46470210226751124)"
7,0.013017512,0.01697032,"(0.43429814341752265, 0.534849651754621, 0.6423160256311754, 0.4421062347131847, 0.5540379138210885, 0.46772446229456216, 0.6288287644304658, 0.5252562027384051, 0.37281508824803494, 0.46827137191695123, 0.45120940326170983, 0.5456952155549423, 0.5916945009423225)"
7,0.013191805,0.017591098,"(0.43429814341752265, 0.534849651754621, 0.6423160256311754, 0.4421062347131847, 0.5540379138210885, 0.46772446229456216, 0.6288287644304658, 0.5252562027384051, 0.3582170605782024, 0.46827137191695123, 0.46354162078352257, 0.5456952155549423, 0.5916945009423225)"
7,0.013006482,0.019455401,"(0.3533626746969346, 0.534849651754621, 0.6423160256311754, 0.4421062347131847, 0.5540379138210885, 0.46772446229456216, 0.6288287644304658, 0.5252562027384051, 0.4415617250412863, 0.46827137191695123, 0.46354162078352257, 0.5456952155549423, 0.5916945009423225)"
7,0.012793384,0.020979834,"(0.3533626746969346, 0.534849651754621, 0.6423160256311754, 0.4421062347131847, 0.5540379138210885, 0.46772446229456216, 0.6288287644304658, 0.5252562027384051, 0.4415617250412863, 0.46470210226751124, 0.46354162078352257, 0.5456952155549423, 0.5980340455048626)"
7,0.022667829,0.02165028,"(0.3533626746969346, 0.534849651754621, 0.6423160256311754, 0.36671756824153057, 0.5540379138210885, 0.46772446229456216, 0.6288287644304658, 0.5969919277670094, 0.4415617250412863, 0.46470210226751124, 0.46354162078352257, 0.5456952155549423, 0.5980340455048626)"
7,0.02258921,0.011191066,"(0.3533626746969346, 0.534849651754621, 0.6423160256311754, 0.36671756824153057, 0.5540379138210885, 0.46772446229456216, 0.5615698911245002, 0.5969919277670094, 0.4415617250412863, 0.46470210226751124, 0.46354162078352257, 0.5456952155549423, 0.6663149697289421)"
7,0.022505903,0.01135768,"(0.3533626746969346, 0.534849651754621, 0.6423160256311754, 0.36671756824153057, 0.5540379138210885, 0.46772446229456216, 0.5615698911245002, 0.5969919277670094, 0.4415617250412863, 0.6689897227461145, 0.46354162078352257, 0.5456952155549423, 0.4631103382575017)"
7,0.022510338,0.011348809,"(0.3533626746969346, 0.534849651754621, 0.6423160256311754, 0.36671756824153057, 0.5537240693016253, 0.46772446229456216, 0.5615698911245002, 0.5969919277670094, 0.4415617250412863, 0.6689897227461145, 0.4637978051799867, 0.5456952155549423, 0.4631103382575017)"
7,0.022511787,0.011303173,"(0.3533626746969346, 0.534849651754621, 0.6423160256311754, 0.36671756824153057, 0.5535663294443991, 0.46772446229456216, 0.5615698911245002, 0.5969919277670094, 0.4415617250412863, 0.6689897227461145, 0.4637978051799867, 0.5458341134618985, 0.4631103382575017)"
7,0.022658931,0.011255515,"(0.3533626746969346, 0.534849651754621, 0.6423160256311754, 0.36671756824153057, 0.5535663294443991, 0.4626682434079276, 0.5615698911245002, 0.5969919277670094, 0.4415617250412863, 0.6689897227461145, 0.4637978051799867, 0.5489774687217674, 0.4631103382575017)"
7,0.022661818,0.013156751,"(0.3533626746969346, 0.534849651754621, 0.6423160256311754, 0.36671756824153057, 0.5535663294443991, 0.4626682434079276, 0.5733876305868133, 0.5969919277670094, 0.4415617250412863, 0.6571344504137053, 0.4637978051799867, 0.5489774687217674, 0.4631103382575017)"
