seats,mm,pg,vs
4,0.028835911,0.057671822,"(0.7265122060042067, 0.8251492356597312, 0.7670571080335674, 0.5530764345152018)"
4,0.008509749,0.017019498,"(0.5865412741472094, 0.8251492356597312, 0.7670571080335674, 0.6786723970529442)"
4,0.00599893,0.01199786,"(0.6772001188679755, 0.8251492356597312, 0.7670571080335674, 0.5951122706913627)"
4,0.004571402,0.009142805,"(0.6772001188679755, 0.8355557827596648, 0.7670571080335674, 0.590415834707874)"
4,0.007158481,0.014316961,"(0.6772001188679755, 0.5794299156673289, 0.7670571080335674, 0.8361933889776118)"
4,0.004616018,0.009232036,"(0.6772001188679755, 0.7682036195695583, 0.5907462781188255, 0.8361933889776118)"
4,0.006225515,0.012451029,"(0.6772001188679755, 0.765122002361692, 0.5812266739121411, 0.8361933889776118)"
4,0.030848919,0.061697838,"(0.7261372140048084, 0.765122002361692, 0.5812266739121411, 0.7866368667673815)"
4,0.029752527,0.059505053,"(0.7261372140048084, 0.5839145613574083, 0.7634243201869532, 0.7866368667673815)"
4,0.003131422,0.006262843,"(0.6722957162023026, 0.5839145613574083, 0.7634243201869532, 0.8392797885152443)"
4,0.003399098,0.006798196,"(0.6722957162023026, 0.5839145613574083, 0.8402158510782849, 0.7654310884663554)"
4,-0.011314251,0.022628502,"(0.6722957162023026, 0.7418861584676608, 0.8402158510782849, 0.6192230269574781)"
4,-0.002904692,0.005809384,"(0.6722957162023026, 0.5994072179926774, 0.8402158510782849, 0.7557085847413406)"
4,-0.003661903,0.007323807,"(0.6722957162023026, 0.6035506352711734, 0.8391012793302909, 0.7557085847413406)"
4,-0.009937402,0.019874805,"(0.6164321568112647, 0.6600752414844941, 0.8391012793302909, 0.7557085847413406)"
4,-0.009597784,0.019195568,"(0.6164321568112647, 0.8385823200192474, 0.6609147566942082, 0.7557085847413406)"
4,-0.009944732,0.019889464,"(0.618133141121351, 0.8382691276101166, 0.6609147566942082, 0.7557085847413406)"
4,-0.003095105,0.008164183,"(0.7721108367958804, 0.8382691276101166, 0.6609147566942082, 0.6071368844947187)"
4,0.004049708,0.009780224,"(0.7721108367958804, 0.8382691276101166, 0.676820423556716, 0.5944632993944233)"
4,-0.00711327,0.01422654,"(0.6171796177765378, 0.8382691276101166, 0.676820423556716, 0.7501752418337305)"
4,-0.006066586,0.012133173,"(0.6147563744466767, 0.8382691276101166, 0.676820423556716, 0.7519387329491913)"
4,0.014386865,0.028773731,"(0.5660402150263373, 0.8382691276101166, 0.7099180712331769, 0.7519387329491913)"
